nFrameNo,nDetectId,nObjectType,nRealXPos[mm],nDistance[mm],nWidth[mm],nHeight[mm],nXSpeed,nZSpeed,nXAcceleration,nZAcceleration,,,image_xs[pixel],image_ys[pixel],image_width[pixel],image_height[pixel]
43,88,0,-7277,29535,317,1042,0,0,0,0,,,58,142,5,6
43,90,0,-13325,41031,319,441,0,0,0,0,,,11,103,4,3
44,78,0,-12338,37994,409,409,0,0,0,0,,,19,111,4,3
45,75,0,-13217,40402,604,459,0,0,0,0,,,11,101,8,9
46,6,0,849,5003,1334,2348,0,0,0,0,,,118,428,13,39
46,110,0,-3736,25603,612,1148,0,0,0,0,,,85,164,5,7
46,124,0,-3532,12730,776,1667,0,0,0,0,,,87,290,6,13
47,80,0,-6618,40242,312,1853,0,0,0,0,,,63,103,5,6
47,126,0,-4120,13174,598,1654,0,0,0,0,,,83,285,4,6
48,95,0,-8042,40023,789,1388,0,0,0,0,,,50,102,8,9
49,69,0,-5525,16528,1057,1858,0,0,0,0,,,71,238,7,14
50,48,0,943,10173,1575,2044,0,0,0,0,,,118,335,12,36
50,99,0,-7332,30197,884,1408,0,0,0,0,,,55,134,7,16
51,0,0,961,4887,1037,2329,0,0,0,0,,,120,423,11,53
51,97,0,-5506,16381,999,1851,0,0,0,0,,,72,240,6,13
51,125,0,-7205,29969,734,1290,0,0,0,0,,,56,138,7,11
52,47,0,1295,10166,2389,2231,0,0,0,0,,,118,333,17,38
52,96,0,-3636,12772,878,1680,0,0,0,0,,,86,291,7,10
53,7,0,1028,4829,877,2376,0,0,0,0,,,121,425,11,53
53,90,0,-3781,32420,1202,1919,0,0,0,0,,,84,127,9,17
53,96,0,-7140,28768,395,1273,0,0,0,0,,,59,145,6,10
55,32,0,933,10196,1664,1963,0,0,0,0,,,118,336,13,32
55,47,0,-2399,21225,1840,2221,0,0,0,0,,,88,165,18,59
55,82,0,-7075,29138,644,1272,0,0,0,0,,,58,143,6,9
56,26,0,1006,10201,1549,1866,0,0,0,0,,,119,338,12,29
56,72,0,-5635,16827,1338,2173,0,0,0,0,,,68,232,9,18
57,3,1001,929,4739,1000,2355,0,0,0,0,,,120,433,8,47
57,61,0,1026,10160,1482,2205,0,0,0,0,,,119,338,12,30
57,80,0,-5647,16832,1369,2174,0,0,0,0,,,65,232,12,19
57,87,0,-1676,19073,524,2190,0,0,0,0,,,101,216,5,7
58,9,1001,945,4789,1019,2357,0,0,0,0,,,120,432,10,50
58,31,0,-7080,49531,385,2044,0,0,0,0,,,59,84,5,6
58,79,0,-3991,11769,922,1611,0,0,0,0,,,82,309,9,14
58,114,0,-7581,30183,631,1317,0,0,0,0,,,54,137,6,11
59,5,0,946,4794,1020,2365,0,0,0,0,,,120,433,10,50
59,17,0,-12327,62269,484,893,0,0,0,0,,,19,67,4,4
59,47,0,990,9975,1533,2040,0,0,0,0,,,118,344,13,34
59,60,0,-5763,16731,1060,1430,0,0,0,0,,,65,234,11,17
59,69,0,-7214,28926,501,1297,0,0,0,0,,,56,142,9,14
60,18,0,931,4824,1058,2360,0,0,0,0,,,120,427,10,59
60,104,0,-5582,16880,1524,2503,0,0,0,0,,,65,232,13,18
61,3,1001,908,4821,1104,2401,0,0,0,0,,,120,431,9,54
61,24,0,-9388,35514,509,1444,0,0,0,0,,,40,117,7,8
61,90,0,-2184,20990,1305,2222,0,0,0,0,,,92,177,13,42
61,121,0,-7411,29228,856,1223,0,0,0,0,,,53,139,11,16
61,130,0,-8273,35199,484,757,0,0,0,0,,,52,120,4,5
62,5,1001,763,4815,1399,2358,0,0,0,0,,,117,431,13,56
62,53,0,-2172,20874,1273,2222,0,0,0,0,,,93,184,12,35
62,59,0,-10265,37723,383,902,0,0,0,0,,,34,111,5,6
62,69,0,-7287,28737,790,1031,0,0,0,0,,,55,143,11,15
63,0,0,942,4261,703,2191,0,0,0,0,,,122,461,6,25
